id,dfid,name,type,c_type,latitude,longitude
4fa00d58e4b07d3440185ed9,145,Barnabike,4bf58dd8d48988d115951735,Bike Shop,41.38319758089368,2.18224773746755
574ef59e498e8c46a16840bc,215,Trail Dunes Shop,4bf58dd8d48988d115951735,Bike Shop,41.40401621704672,2.1389704942703247
51027e05e4b02f2f5945bd2c,229,rumble bikes,4bf58dd8d48988d115951735,Bike Shop,41.42875289916992,2.190438747406006
54a7da89498e8bfa13c2f9b1,259,Nivell Bike,4bf58dd8d48988d115951735,Bike Shop,41.412402,2.138155
4db7fda05da3b5fa68b54b18,292,Ciclosport Mota,4bf58dd8d48988d115951735,Bike Shop,41.439101327864,2.179401594175271
515f12f4e4b0bed0adf4dc92,301,Biciclinic,4bf58dd8d48988d115951735,Bike Shop,41.41700128415138,2.1349310874938965
4def3972d4c0e9e23b784f67,410,Power Motos,4bf58dd8d48988d115951735,Bike Shop,41.366402,2.1231169999999997
57912faa498e0b0b8ef6a679,495,Fullbicycles Barcelona,4e4c9077bd41f78e849722f9,Bike Rental / Bike Share,41.4008141,2.152786200000037
5415acb5498ef98c2acf464a,497,Velociutat,4bf58dd8d48988d115951735,Bike Shop,41.37591090758454,2.1623861789703365
574ed73a498ebb08c51ae64c,507,Green Bikes Rental,4bf58dd8d48988d115951735,Bike Shop,41.381347999999996,2.180615
50f2f612e4b00599e7a8f065,516,taller bicicle,4bf58dd8d48988d115951735,Bike Shop,41.37889099121094,2.149345874786377
4d87b66724bf145603cbbc5d,523,Barceloneta Bikes,4bf58dd8d48988d115951735,Bike Shop,41.37789695064584,2.188867328993565
537112c2498eeab28220617c,526,Ciclos Clase,4bf58dd8d48988d115951735,Bike Shop,41.374505,2.1596599999999997
4d8b8dad76e1236ab50c3243,527,Orbea,4bf58dd8d48988d115951735,Bike Shop,41.39771374633533,2.1574387364074714
4f7aa248e4b0e204102de074,537,Motos Marsiñach,4bf58dd8d48988d115951735,Bike Shop,41.37707710808068,2.1632784456131082
52c19a9c498e9e5fdeabf65b,538,Velòdrom Studio,4bf58dd8d48988d115951735,Bike Shop,41.3760356948804,2.1438145637512207
51e04868498e7042af08e361,539,Biciquadra,4bf58dd8d48988d115951735,Bike Shop,41.37915015339517,2.162275738194149
53450251498e64c5b39ba260,543,The Bike Club,4bf58dd8d48988d115951735,Bike Shop,41.3759971525335,2.152958784797381
4cdd5689d4ecb1f7e5ad8448,546,Servei Tècnic Vespa,4bf58dd8d48988d115951735,Bike Shop,41.37939229999999,2.1506220000000003
